compound,SMILES,MolecularWeight,Min_Concentration,Max_Concentration
CC-401,C(CN1CCCCC1)Oc1cccc(c1)-c1n[nH]c2ccc(cc12)-c1ncn[nH]1,388.47500000000014,0.015,50.0
cetilistat,CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1,401.59100000000007,0.015,50.0
methoxsalen,COc1c2occc2cc2ccc(=O)oc12,216.19199999999995,0.015,50.0
cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1202.634999999999,0.015,50.0
miglitol,OCCN1C[C@@H](O)[C@@H](O)C(O)C1CO,207.226,0.015,50.0
orantinib,Cc1[nH]c(\C=C2/C(=O)Nc3ccccc23)c(C)c1CCC(O)=O,310.35300000000007,0.015,50.0
ceritinib,CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,558.1480000000001,0.015,50.0
romidepsin,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,540.7080000000002,0.015,50.0
simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,418.57400000000024,0.015,50.0
dinoprostone,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,352.4710000000001,0.015,50.0
xanomeline,CCCCCCOc1nsnc1C1=CCCN(C)C1,281.425,0.015,50.0
nicotine,CN1CCCC1c1cccnc1,162.236,0.015,50.0
nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,418.4460000000002,0.015,50.0
pentostatin,OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2[C@H](O)CNC=Nc12,268.273,0.015,50.0
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.30400000000003,0.015,50.0
triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,253.26900000000003,0.015,50.0
regorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1,482.82100000000014,0.015,50.0
cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,261.089,0.015,50.0
olanzapine,CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12,312.4420000000001,0.015,50.0
miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,416.1350000000001,0.015,50.0
aripiprazole,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,448.39400000000023,0.015,50.0
